,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_d_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
42,25000,mnist35,10000,0.8883979320526123,0.8067781925201416,./d.n=mnist35,0.051299747079610825,1.1175227882631589e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist35,shallow,1e-05,4.5164971351623535,4.388713359832764,1.2253470420837402,1.261690378189087,21.523162841796875,0.022923885535056834
43,25000,mnist05,10000,0.5805588364601135,0.538122296333313,./d.n=mnist05,0.019504882395267487,2.7401792976888828e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist05,shallow,1e-05,2.616588830947876,2.633768081665039,1.1330946683883667,1.1525423526763916,13.756683349609375,0.018900761880826587
44,25000,mnist18,10000,0.5657706260681152,0.5577083230018616,./d.n=mnist18,0.012411071918904781,1.3579210644820705e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist18,shallow,1e-05,2.6604952812194824,2.758403778076172,1.2525148391723633,1.2320902347564697,14.769036293029785,0.01745334398574657
45,630,mnist25,10000,0.7344933152198792,0.7218116521835327,./d.n=mnist25_m.pldrc=0,0.01584603823721409,8.851046004565433e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist25_m.pldrc=0,shallow,0.0,2.8333466053009033,2.926053285598755,1.2735332250595093,1.285036563873291,14.018529891967773,0.014080722972498187
46,946,mnist02,10000,0.642723023891449,0.5746572017669678,./d.n=mnist02_m.pldrc=0,0.021796397864818573,1.2163046449131798e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist02_m.pldrc=0,shallow,0.0,2.4807796478271484,2.4546146392822266,1.232169508934021,1.2082182168960571,15.333992004394531,0.01463457680887615
47,978,mnist27,10000,0.9700907468795776,0.9259977340698242,./d.n=mnist27_m.pldrc=0,0.03464159741997719,8.46383954922203e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist27_m.pldrc=0,shallow,0.0,2.8280346393585205,2.8500404357910156,1.2398667335510254,1.1754628419876099,18.202547073364258,0.015782970351500843
48,983,mnist35,10000,1.0338845252990723,0.921151876449585,./d.n=mnist35_m.pldrc=0,0.05069443956017494,2.0044595657964237e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist35_m.pldrc=0,shallow,0.0,4.111403465270996,4.171239376068115,1.2674094438552856,1.344280481338501,24.82052993774414,0.01933660376991057
49,1049,mnist24,10000,0.6481441855430603,0.6616238951683044,./d.n=mnist24_m.pldrc=0,0.021326953545212746,3.0834788049105555e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist24_m.pldrc=0,shallow,0.0,2.730632781982422,2.736656665802002,1.2427436113357544,1.2315531969070435,15.332399368286133,0.015050160997249077
50,1165,mnist01,10000,0.44574689865112305,0.42003369331359863,./d.n=mnist01_m.pldrc=0,0.00157408497761935,7.186697530414676e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist01_m.pldrc=0,shallow,0.0,1.3063825368881226,1.3069210052490234,1.0957814455032349,1.1233588457107544,7.34467887878418,0.010176231313991509
51,1186,mnist34,10000,0.5211126208305359,0.48255473375320435,./d.n=mnist34_m.pldrc=0,0.009289097040891647,3.276378629379906e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist34_m.pldrc=0,shallow,0.0,2.258150815963745,2.2984323501586914,1.2022556066513062,1.1251041889190674,12.536137580871582,0.013568077192582477
52,1212,mnist05,10000,0.7720786333084106,0.7152846455574036,./d.n=mnist05_m.pldrc=0,0.021463964134454727,1.9733881345018744e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist05_m.pldrc=0,shallow,0.0,2.5349159240722656,2.5501177310943604,1.1805590391159058,1.157537817955017,16.08315086364746,0.016098545790119233
53,1047,mnist67,10000,0.8507261872291565,0.8000921607017517,./d.n=mnist67_m.pldrc=0,0.013162970542907715,1.3476945241563953e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist67_m.pldrc=0,shallow,0.0,1.8737306594848633,1.8386929035186768,1.0919256210327148,1.1469765901565552,8.05746078491211,0.011120284666382816
54,1238,mnist09,10000,0.674578845500946,0.6037660837173462,./d.n=mnist09_m.pldrc=0,0.018467841669917107,1.4591113540518563e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist09_m.pldrc=0,shallow,0.0,2.1825473308563232,2.108372449874878,1.1440197229385376,1.172008991241455,13.070440292358398,0.013495894615361218
55,1229,mnist69,10000,0.8108366131782532,0.7772391438484192,./d.n=mnist69_m.pldrc=0,0.013682394288480282,1.937176421051845e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist69_m.pldrc=0,shallow,0.0,1.8150900602340698,1.8378517627716064,1.1246596574783325,1.0668264627456665,9.397294998168945,0.012329673190669351
56,916,mnist45,10000,0.5567570328712463,0.5347487926483154,./d.n=mnist45_m.pldrc=0,0.011566502042114735,3.363981159054674e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist45_m.pldrc=0,shallow,0.0,2.6047098636627197,2.671881675720215,1.145371913909912,1.1872878074645996,13.23572063446045,0.013645682771688988
57,1296,mnist36,10000,0.6391184329986572,0.587468147277832,./d.n=mnist36_m.pldrc=0,0.01507499534636736,2.438430419715587e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist36_m.pldrc=0,shallow,0.0,2.1591694355010986,2.2694156169891357,1.1661103963851929,1.1856684684753418,12.81454086303711,0.013961226611999812
58,1335,mnist07,10000,0.6134480834007263,0.5828551650047302,./d.n=mnist07_m.pldrc=0,0.012654968537390232,8.34036291053053e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist07_m.pldrc=0,shallow,0.0,1.7563649415969849,1.7623310089111328,1.1114274263381958,1.117063283920288,9.385475158691406,0.012114358023657621
59,1379,mnist48,10000,0.7138426303863525,0.6806942224502563,./d.n=mnist48_m.pldrc=0,0.02245796099305153,7.178597115853336e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist48_m.pldrc=0,shallow,0.0,2.8116910457611084,2.7673442363739014,1.2609820365905762,1.2652904987335205,17.311988830566406,0.016664972711577596
60,1040,mnist46,10000,0.7440094947814941,0.7025574445724487,./d.n=mnist46_m.pldrc=0,0.030250800773501396,7.914194611657877e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist46_m.pldrc=0,shallow,0.0,2.544956922531128,2.5429561138153076,1.174747109413147,1.2059487104415894,14.759069442749023,0.014280857685193857
61,1407,mnist78,10000,0.7901214957237244,0.7229680418968201,./d.n=mnist78_m.pldrc=0,0.03061593510210514,1.6849271560204215e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist78_m.pldrc=0,shallow,0.0,2.73413348197937,2.7298123836517334,1.1675946712493896,1.2129168510437012,15.958271026611328,0.015330933452793611
62,1381,mnist79,10000,1.1297798156738281,1.0653325319290161,./d.n=mnist79_m.pldrc=0,0.04567111283540726,1.2090369637007825e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist79_m.pldrc=0,shallow,0.0,3.94290828704834,4.027828693389893,1.2675929069519043,1.3125600814819336,27.965465545654297,0.020056099080312743
63,1448,mnist15,10000,0.6247422695159912,0.5921862721443176,./d.n=mnist15_m.pldrc=0,0.008605556562542915,9.737429536471609e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist15_m.pldrc=0,shallow,0.0,2.342349052429199,2.355984926223755,1.1355146169662476,1.171384572982788,10.787130355834961,0.012320481616174887
64,942,mnist28,10000,0.8741949200630188,0.8053213953971863,./d.n=mnist28_m.pldrc=0,0.04067281261086464,9.968017366190907e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist28_m.pldrc=0,shallow,0.0,3.2999730110168457,3.230515241622925,1.2609015703201294,1.2865943908691406,21.122556686401367,0.017553232736423053
65,1590,mnist68,10000,0.8319339752197266,0.7715744376182556,./d.n=mnist68_m.pldrc=0,0.03343509882688522,1.2017407243547495e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist68_m.pldrc=0,shallow,0.0,2.7283260822296143,2.810927391052246,1.149000883102417,1.207614541053772,18.43697738647461,0.01653801534483998
66,1446,mnist47,10000,0.7641992568969727,0.6788055896759033,./d.n=mnist47_m.pldrc=0,0.0240912064909935,7.3041328505496494e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist47_m.pldrc=0,shallow,0.0,3.0085666179656982,2.989993095397949,1.177276372909546,1.1130660772323608,19.26753807067871,0.01659273690545215
67,1348,mnist06,10000,0.7902934551239014,0.6956244707107544,./d.n=mnist06_m.pldrc=0,0.030494416132569313,7.208789611468092e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist06_m.pldrc=0,shallow,0.0,2.614062547683716,2.537792444229126,1.2025173902511597,1.196016550064087,16.47487449645996,0.015386842215718555
68,1714,mnist39,10000,0.9041516780853271,0.8524565100669861,./d.n=mnist39_m.pldrc=0,0.033840760588645935,7.630202162545174e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist39_m.pldrc=0,shallow,0.0,3.4435667991638184,3.4224746227264404,1.2368518114089966,1.206235408782959,21.226560592651367,0.01781019236377108
69,1708,mnist08,10000,0.6408234238624573,0.5616768598556519,./d.n=mnist08_m.pldrc=0,0.021400120109319687,1.1158928828081116e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist08_m.pldrc=0,shallow,0.0,2.391190767288208,2.423779249191284,1.1904844045639038,1.2069634199142456,16.5476016998291,0.015586070888036607
70,1021,mnist56,10000,0.8216394782066345,0.772903561592102,./d.n=mnist56_m.pldrc=0,0.035397063940763474,1.0232910426566377e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist56_m.pldrc=0,shallow,0.0,3.1770756244659424,3.3027520179748535,1.2060407400131226,1.2503886222839355,20.311050415039062,0.0169060265089501
71,1547,mnist49,10000,1.3543517589569092,1.2222402095794678,./d.n=mnist49_m.pldrc=0,0.08558714389801025,3.1533680157735944e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist49_m.pldrc=0,shallow,0.0,5.337806701660156,5.464850425720215,1.2802293300628662,1.3396666049957275,32.57279968261719,0.022987332922161395
72,1806,mnist16,10000,0.5714969635009766,0.5339609384536743,./d.n=mnist16_m.pldrc=0,0.015475775115191936,2.6773788704304025e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist16_m.pldrc=0,shallow,0.0,1.9392805099487305,1.9934182167053223,1.097444772720337,1.0964089632034302,10.399727821350098,0.012365256500327151
