,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_f_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
29,14914,mnist56,10000,1.0133979320526123,0.9082813858985901,./d.n=mnist56,0.04022457078099251,8.975626769824885e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist56,shallow,0.0001,3.1526012420654297,3.1945884227752686,1.0397627353668213,1.0862864255905151,24.27898597717285,0.023738406115547898
30,14835,mnist68,10000,1.0706592798233032,0.9801018238067627,./d.n=mnist68,0.04580733925104141,3.7833317037438974e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist68,shallow,0.0001,2.6650524139404297,2.694152355194092,1.0347059965133667,1.033922553062439,22.524003982543945,0.023653046351343437
31,15234,mnist06,10000,0.9463261365890503,0.7815164923667908,./d.n=mnist06,0.031276240944862366,1.680095556366723e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist06,shallow,0.0001,2.4735207557678223,2.3475356101989746,1.018585443496704,1.0852688550949097,19.803363800048828,0.023399575222740648
32,15491,mnist02,10000,0.693619966506958,0.5744504332542419,./d.n=mnist02,0.017957955598831177,5.095284450362669e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist02,shallow,0.0001,2.4475042819976807,2.41821026802063,1.0390368700027466,1.0595470666885376,18.118492126464844,0.022346824091952835
33,15984,mnist08,10000,0.6306288838386536,0.5451769828796387,./d.n=mnist08,0.023604946210980415,6.6288639573031105e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist08,shallow,0.0001,1.9084428548812866,1.8430525064468384,1.0136746168136597,1.0388020277023315,19.243757247924805,0.021931110590942212
34,17027,mnist03,10000,0.6041015386581421,0.5158575177192688,./d.n=mnist03,0.008335724472999573,3.809046756941825e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist03,shallow,0.0001,2.1748197078704834,2.0126426219940186,1.0598762035369873,0.9719228148460388,15.350343704223633,0.021883484692011648
35,18135,mnist89,10000,0.9967651963233948,0.8533726930618286,./d.n=mnist89,0.036520857363939285,1.2777710253430996e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist89,shallow,0.0001,3.275057077407837,3.143228530883789,1.0687761306762695,0.9987197518348694,25.60419464111328,0.02566755598777039
36,20036,mnist79,10000,1.1396207809448242,1.0249791145324707,./d.n=mnist79,0.04518629610538483,1.663944021856878e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist79,shallow,0.0001,4.107526779174805,4.15273904800415,1.095894455909729,1.0699079036712646,33.711063385009766,0.028083766010376515
37,21989,mnist59,10000,1.1093205213546753,0.9493826627731323,./d.n=mnist59,0.042912133038043976,6.7661339926416986e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist59,shallow,0.0001,3.7519397735595703,3.7730958461761475,1.0614460706710815,1.083918571472168,27.089813232421875,0.02694807165572809
38,25000,mnist38,10000,1.2462295293807983,1.0982908010482788,./d.n=mnist38,0.052003853023052216,1.5335997886722907e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist38,shallow,0.0001,4.768122673034668,4.607546806335449,1.1730015277862549,1.1293461322784424,31.303558349609375,0.03300728592422228
39,25000,mnist28,10000,1.083886742591858,0.9675642251968384,./d.n=mnist28,0.046719741076231,0.000218002445762977,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist28,shallow,0.0001,3.6881420612335205,3.628221273422241,1.1025668382644653,1.1338346004486084,26.17490005493164,0.0290924125830128
40,25000,mnist49,10000,1.5055574178695679,1.2522929906845093,./d.n=mnist49,0.07538654655218124,1.1612255548243411e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist49,shallow,0.0001,5.377362251281738,5.294375896453857,1.1155847311019897,1.122921347618103,39.606719970703125,0.03374907616904188
41,25000,mnist58,10000,1.1943106651306152,1.0093129873275757,./d.n=mnist58,0.05477205663919449,2.608232716738712e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist58,shallow,0.0001,4.8237199783325195,4.694224834442139,1.1469448804855347,1.1273207664489746,31.445314407348633,0.032663868158204996
42,25000,mnist48,10000,0.7080734968185425,0.5782502889633179,./d.n=mnist48,0.02530250884592533,3.055590423173271e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist48,shallow,0.0001,2.8924989700317383,2.6631016731262207,1.0539990663528442,1.0528579950332642,22.563322067260742,0.02583207601415646
43,25000,mnist35,10000,1.2495976686477661,1.0749839544296265,./d.n=mnist35,0.05325397104024887,0.0011094146175310016,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist35,shallow,0.0001,4.840686798095703,4.7983832359313965,1.0670464038848877,1.0793293714523315,30.60000228881836,0.030569241287547736
44,25000,mnist23,10000,1.1740862131118774,1.0229190587997437,./d.n=mnist23,0.03822261840105057,5.85776251682546e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist23,shallow,0.0001,4.3638834953308105,4.117924690246582,1.1560907363891602,1.096041202545166,31.287187576293945,0.0312307971574237
